id,a
a1,30565
a1,33637
a1,30808
a1,31987
a1,25578
a1,25719
a1,24598
a1,22095
a1,25512
a1,31968
a1,39718
a1,31043
a1,23183
a1,23832
a1,22919
a1,22570
a1,22464
a1,28538
a1,25055
a1,41404
a1,35872
a1,22310
a1,26756
a1,25118
a1,32190
a1,35784
a1,30785
a1,27928
a1,29524
a1,30985
a1,32295
a1,26131
a1,28982
a1,33624
a1,22925
a1,33000
a1,29681
a1,39793
a1,35035
a1,21123
a1,29648
a1,17999
a1,22084
a1,16427
a1,26486
a1,28939
a1,35023
a1,35860
a1,26895
a1,20047
a1,23582
a1,22027
a1,20332
a1,29275
a1,16341
a1,18277
a1,21282
a1,24149
a1,22971
a1,20184
a1,16772
a1,16291
a1,26826
a1,25975
a1,19422
a1,25054
a1,13619
a1,18968
a1,10590
a1,12380
a1,8146
a1,12629
a1,17516
a1,28171
a1,12778
a1,10182
a1,14419
a1,10171
a1,13534
a1,28780
a1,29576
a1,20974
a1,20584
a1,21982
a1,30970
a1,33804
a1,32673
a1,32031
a1,18791
a1,22769
a1,32347
a1,34504
a1,36318
a1,34053
a1,35607
a1,31059
a1,32755
a1,52382
a1,31135
a1,41638
a1,29697
a1,31132
a1,32784
a1,32968
a1,24622
a1,26156
a1,20689
a1,20243
a1,13876
a1,10030
a1,22458
a1,25057
a1,30391
a1,22867
a1,31583
a1,32801
a1,22418
a1,33984
a1,33007
a1,36516
a1,31806
a1,34320
a1,30834
a1,23745
a1,27980
a1,35123
a1,24869
a1,23446
a1,16091
a1,30812
a1,27817
a1,15943
a1,19719
a1,23108
a1,24272
a1,23537
a1,16087
a1,24398
a1,17416
a1,16236
a1,17215
a1,17213
a1,34507
a1,33558
a1,33839
a1,27285
a1,26027
a1,22741
a1,25530
a1,26724
a1,22735
a1,25964
a1,26258
a1,37151
a1,34739
a1,26180
a1,36158
a1,36087
a1,33515
a1,29903
a1,20935
a1,23697
a1,23026
a1,20818
a1,25470
a1,25487
a1,37854
a1,34957
a1,22039
a1,20277
a1,31022
a1,23370
a1,26359
a1,32586
a1,18814
a1,22674
a1,24190
a1,24038
a1,29761
a1,20404
a1,23529
a1,19854
a1,24459
a1,31111
a1,18483
a1,25481
a1,21249
a1,23928
a1,27913
a1,247778
a1,19214
a1,28130
a1,16599
a1,29728
a1,23880
a1,15598
a1,17869
a1,28307
a1,28898
a1,18365
a1,21190
a1,35068
a1,32734
a1,52507
a1,45168
a1,31296
a1,30714
a1,35709
a1,25883
a1,29014
a1,33888
a1,37286
a1,24006
a1,25869
a1,40388
a1,47508
a1,42107
a1,51608
a1,43954
a1,31009
a1,40618
a1,19863
a1,18885
a1,12040
a1,10438
a1,17750
a1,16367
a1,14559
a1,14768
a1,11145
a1,11194
a1,16538
a1,10698
a1,12154
a1,22874
a1,8583
a1,17063
a1,19971
a1,23648
a1,21070
a1,14524
a1,20711
a1,25405
a1,30899
a1,30817
a1,24389
a1,22724
a1,15177
a1,17991
a1,12791
a1,25651
a1,29253
a1,24707
a2,14946
a2,18802
a2,20314
a2,23045
a2,13677
a2,17836
a2,14058
a2,12859
a2,12411
a2,15206
a2,17505
a2,14701
a2,11806
a2,9097
a2,12681
a2,14381
a2,11137
a2,12144
a2,15895
a2,16303
a2,16261
a2,12833
a2,12373
a2,13881
a2,14963
a2,21942
a2,16407
a2,13812
a2,16440
a2,13216
a2,16226
a2,12498
a2,15168
a2,16057
a2,14214
a2,18525
a2,18354
a2, 
a2,19816
a2,24059
a2,24463
a2,18042
a2,17792
a2,21047
a2,20648
a2,22793
a2,20676
a2,23958
a2,15155
a2,17919
a2,24247
a2,17515
a2,19042
a2,25224
a2,15516
a2,13035
a2,16277
a2,21104
a2,25361
a2,17153
a2,12154
a2,18111
a2,26537
a2,20206
a2,19084
a2,23546
a2,11739
a2,31158
a2,21598
a2,18436
a2,22812
a2,18494
a2,23536
a2,33370
a2,13431
a2,15728
a2,24527
a2,15155
a2,24521
a2,25104
a2,20691
a2,6268
a2,11833
a2,15795
a2,18925
a2,18021
a2,18757
a2,15753
a2,8550
a2,11124
a2,20246
a2,16358
a2, 
a2, 
a2,1475
a2, 
a2,946
a2, 
a2, 
a2, 
a2,21239
a2,22691
a2,19229
